address_name,category_group_name,category_name,phone,place_name,place_url,road_address_name,x,y
지번:서울 중구 만리동2가 273,음식점,음식점 > 카페 > 커피전문점 > 메가MGC커피,전화번호:02-3147-2444,장소이름:메가MGC커피 서울만리점,웹링크:http://place.map.kakao.com/1853524775,도로명주소:서울 중구 만리재로 175,경도:126.96285247770888,위도:37.55215926569699
지번:서울 중구 만리동2가 273,음식점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,전화번호:02-364-3331,장소이름:배스킨라빈스 만리센트럴점,웹링크:http://place.map.kakao.com/960690898,도로명주소:서울 중구 만리재로 175,경도:126.96250743606586,위도:37.551915887148894
지번:서울 중구 만리동2가 226-1,음식점,음식점 > 한식 > 죽 > 본죽,전화번호:02-363-6288,장소이름:본죽 만리점,웹링크:http://place.map.kakao.com/2132333184,도로명주소:서울 중구 만리재로 175,경도:126.96301651262137,위도:37.55227914993556
지번:서울 중구 만리동2가 273,음식점,"음식점 > 양식 > 스테이크,립",전화번호:02-313-6692,장소이름:스탠딩스테이크 공덕점,웹링크:http://place.map.kakao.com/148925726,도로명주소:서울 중구 만리재로 175,경도:126.96294864316329,위도:37.55221515779402
지번:서울 중구 만리동2가 273,음식점,음식점 > 카페 > 커피전문점 > 이디야커피,전화번호:02-363-6848,장소이름:이디야커피 만리동고개점,웹링크:http://place.map.kakao.com/1039040428,도로명주소:서울 중구 만리재로 175,경도:126.96276763639736,위도:37.55208896112274
지번:서울 중구 만리동2가 231-3,음식점,음식점 > 치킨,전화번호:02-313-3770,장소이름:다코기 만리점,웹링크:http://place.map.kakao.com/221446583,도로명주소:서울 중구 만리재로 175,경도:126.962776716744,위도:37.5520349040988
지번:서울 중구 만리동2가 226-1,음식점,음식점 > 분식,전화번호:02-364-3311,장소이름:신림동정통계란말이김밥 만리점,웹링크:http://place.map.kakao.com/80670124,도로명주소:서울 중구 만리재로 175,경도:126.96301198944175,위도:37.55227194053407
지번:서울 중구 만리동2가 226-1,음식점,음식점 > 카페,전화번호:02-313-3113,장소이름:그린스미스,웹링크:http://place.map.kakao.com/1338179256,도로명주소:서울 중구 만리재로 175,경도:126.96297464917438,위도:37.55226111685411
지번:서울 중구 중림동 397-9,음식점,"음식점 > 한식 > 육류,고기 > 갈비",전화번호:02-363-6660,장소이름:갈비정,웹링크:http://place.map.kakao.com/684938424,도로명주소:서울 중구 중림로4길 8,경도:126.964126981118,위도:37.5587675761623
지번:서울 중구 중림동 400-6,음식점,"음식점 > 한식 > 육류,고기 > 곱창,막창",전화번호:02-913-1641,장소이름:마포대도소곱창,웹링크:http://place.map.kakao.com/27119857,도로명주소:서울 중구 손기정로1길 42,경도:126.96226626169,위도:37.558900343723
지번:서울 중구 중림동 400-7,음식점,"음식점 > 한식 > 해물,생선",전화번호:02-363-0990,장소이름:e문어세상 충정로직영점,웹링크:http://place.map.kakao.com/166104597,도로명주소:서울 중구 손기정로1길 46,경도:126.962433765954,위도:37.558900397137
지번:서울 중구 중림동 401-4,음식점,음식점 > 한식,전화번호:010-2769-0195,장소이름:오공일,웹링크:http://place.map.kakao.com/550581873,도로명주소:서울 중구 손기정로1길 38,경도:126.962055776988,위도:37.5588462164421
지번:서울 중구 중림동 400-15,음식점,"음식점 > 한식 > 육류,고기",전화번호:02-365-7792,장소이름:한우정육마당 충정로점,웹링크:http://place.map.kakao.com/1536966308,도로명주소:서울 중구 손기정로1길 50,경도:126.96267481246046,위도:37.5589482264297
지번:서울 중구 중림동 200,음식점,음식점 > 카페 > 커피전문점 > 메가MGC커피,전화번호:02-393-1005,장소이름:메가MGC커피 충정로역점,웹링크:http://place.map.kakao.com/144774322,도로명주소:서울 중구 중림로 10,경도:126.9642559041635,위도:37.55897754758139
지번:서울 중구 중림동 200,음식점,음식점 > 중식 > 중국요리,전화번호:02-392-1909,장소이름:찐하오,웹링크:http://place.map.kakao.com/2042768685,도로명주소:서울 중구 중림로 10,경도:126.96444719753124,위도:37.55893255548536
지번:서울 중구 중림동 398-1,음식점,음식점 > 치킨 > 계림원,전화번호:02-3147-0777,장소이름:계림원 충정로역점,웹링크:http://place.map.kakao.com/106101699,도로명주소:서울 중구 서소문로 8,경도:126.96290002051148,위도:37.558983436295435
지번:서울 중구 중림동 200,음식점,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",전화번호:02-312-8280,장소이름:파리바게뜨 충정로역점,웹링크:http://place.map.kakao.com/11225716,도로명주소:서울 중구 중림로 10,경도:126.96428420743376,위도:37.5589595362053
지번:서울 중구 중림동 397-2,음식점,음식점 > 분식,전화번호:02-392-9281,장소이름:파더스김밥앤카페 충정로역점,웹링크:http://place.map.kakao.com/654749911,도로명주소:서울 중구 중림로 2-1,경도:126.963929960436,위도:37.5589549235288
지번:서울 중구 중림동 397-2,음식점,"음식점 > 간식 > 떡,한과",전화번호:02-364-3515,장소이름:중림떡집,웹링크:http://place.map.kakao.com/10000874,도로명주소:서울 중구 중림로 2-1,경도:126.963941273089,위도:37.5589657389491
지번:서울 중구 중림동 398-6,음식점,음식점 > 한식 > 해장국 > 일품양평해장국,전화번호:02-365-5047,장소이름:일품양평해장국 충정로역점,웹링크:http://place.map.kakao.com/1588516379,도로명주소:서울 중구 서소문로 12,경도:126.963339165281,위도:37.5589601475449
지번:서울 중구 중림동 398-1,음식점,음식점 > 치킨 > 치킨마루,전화번호:02-365-0016,장소이름:치킨마루 충정로점,웹링크:http://place.map.kakao.com/17040816,도로명주소:서울 중구 서소문로 8,경도:126.962972456652,위도:37.5589798550461
지번:서울 중구 만리동2가 273,음식점,음식점 > 카페 > 커피전문점 > 투썸플레이스,전화번호:02-363-5558,장소이름:투썸플레이스 서울역센트럴자이점,웹링크:http://place.map.kakao.com/765473217,도로명주소:서울 중구 만리재로 175,경도:126.96527447598352,위도:37.55417823823729
지번:서울 중구 만리동2가 273,음식점,음식점 > 카페 > 테마카페 > 디저트카페,전화번호:010-2116-9054,장소이름:킷사텐 서울역센트럴자이점,웹링크:http://place.map.kakao.com/1183373896,도로명주소:서울 중구 만리재로 175,경도:126.964875135224,위도:37.5538492559177
지번:서울 중구 만리동2가 288,음식점,음식점 > 치킨 > 깐부치킨,전화번호:02-313-0725,장소이름:깐부치킨 서울역만리재길점,웹링크:http://place.map.kakao.com/2075730333,도로명주소:서울 중구 만리재로 177,경도:126.96573835464513,위도:37.55444957408992
지번:서울 중구 만리동2가 176-43,음식점,음식점 > 한식 > 국수,전화번호:02-313-0055,장소이름:서계동국수집,웹링크:http://place.map.kakao.com/214105461,도로명주소:서울 중구 만리재로 161,경도:126.964464514302,위도:37.5534499909929
지번:서울 중구 만리동2가 273,음식점,음식점 > 분식,전화번호:02-313-1552,장소이름:고씨네메밀공방 서울역센트럴자이점,웹링크:http://place.map.kakao.com/1007856221,도로명주소:서울 중구 만리재로 175,경도:126.96483780490628,위도:37.55381500688845
지번:서울 중구 만리동2가 273,음식점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",전화번호:02-6405-6790,장소이름:뚜레쥬르 서울역센트럴자이점,웹링크:http://place.map.kakao.com/213876952,도로명주소:서울 중구 만리재로 175,경도:126.96513759229012,위도:37.55406287018141
지번:서울 중구 만리동2가 288,음식점,음식점 > 치킨 > 명가통닭,전화번호:02-362-9292,장소이름:명가통닭 서울역만리점,웹링크:http://place.map.kakao.com/392515213,도로명주소:서울 중구 만리재로 177,경도:126.96587075582468,위도:37.55447123638091
지번:서울 중구 만리동2가 288,음식점,음식점 > 카페 > 커피전문점 > 메가MGC커피,전화번호:02-313-5493,장소이름:메가MGC커피 서울역한라비발디점,웹링크:http://place.map.kakao.com/1248265200,도로명주소:서울 중구 만리재로 177,경도:126.966003143574,위도:37.5545226314452
지번:서울 중구 만리동2가 11-4,음식점,"음식점 > 간식 > 떡,한과",전화번호:010-8930-2297,장소이름:은하수케이크,웹링크:http://place.map.kakao.com/983066272,도로명주소:서울 중구 만리재로 183,경도:126.96635168560496,위도:37.554583999132745
지번:서울 중구 만리동2가 11-1,음식점,음식점 > 한식,전화번호:02-392-1991,장소이름:고흥식당,웹링크:http://place.map.kakao.com/413360680,도로명주소:서울 중구 만리재로 185,경도:126.96673415902,위도:37.5546922272373
지번:서울 중구 만리동2가 11-1,음식점,음식점 > 한식,전화번호:02-392-1991,장소이름:정우식당,웹링크:http://place.map.kakao.com/15842293,도로명주소:서울 중구 만리재로 185,경도:126.966691151981,위도:37.5546958191036
지번:서울 중구 중림동 200,음식점,"음식점 > 한식 > 육류,고기",전화번호:02-392-8592,장소이름:두툼,웹링크:http://place.map.kakao.com/26939037,도로명주소:서울 중구 중림로 10,경도:126.966205121367,위도:37.5583573345869
