address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 중구 만리동2가 273,,,"가정,생활 > 드럭스토어 > 올리브영",,2125887457,02-312-0720,올리브영 만리동점,http://place.map.kakao.com/2125887457,서울 중구 만리재로 175,126.9624735218075,37.551843796524004
서울 중구 만리동2가 273,CS2,편의점,"가정,생활 > 편의점 > CU",,1930756361,02-364-6663,CU 센트럴자이점,http://place.map.kakao.com/1930756361,서울 중구 만리재로 175,126.96246108373376,37.55182306961294
서울 중구 만리동2가 273,HP8,병원,"의료,건강 > 병원 > 정형외과",,1388984750,02-6954-6775,서울에이스마취통증의학과의원,http://place.map.kakao.com/1388984750,서울 중구 만리재로 175,126.96251085953762,37.551859125353076
서울 중구 만리동2가 273,HP8,병원,"의료,건강 > 병원 > 치과",,1697053161,02-363-1255,서울닥터박치과의원,http://place.map.kakao.com/1697053161,서울 중구 만리재로 175,126.9624916232508,37.55185461425328
서울 중구 만리동2가 273,PM9,약국,"의료,건강 > 약국",,1919810711,02-393-9117,목화약국,http://place.map.kakao.com/1919810711,서울 중구 만리재로 175,126.96254706425113,37.55187715680535
서울 중구 만리동2가 273,AC5,학원,"교육,학문 > 학원 > 수학학원",,652806130,02-365-2726,mpa정수학학원,http://place.map.kakao.com/652806130,서울 중구 만리재로 175,126.962571964351,37.5518708577139
서울 중구 만리동2가 226-2,,,"사회,공공기관 > 행정기관 > 과학기술정보통신부 > 우체통",,76480877,,우체통,http://place.map.kakao.com/76480877,,126.962518845362,37.5517311861504
서울 중구 만리동2가 171,,,"서비스,산업 > 무역업,중개업",,687136430,02-390-6114,영원무역,http://place.map.kakao.com/687136430,서울 중구 만리재로 159,126.96403453724331,37.55330389914267
서울 중구 만리동2가 171,,,"가정,생활 > 패션 > 의류판매 > 스포츠의류",,18063578,02-392-9143,노스페이스 TNF 만리직영점,http://place.map.kakao.com/18063578,서울 중구 만리재로 159,126.96403994393233,37.55335490453307
서울 중구 만리동2가 218-26,,,"문화,예술 > 종교 > 기독교 > 교회",,17281380,02-312-2231,만리현교회,http://place.map.kakao.com/17281380,서울 중구 만리재로21길 9,126.963079614551,37.5528314814814
서울 중구 만리동2가 171,,,부동산 > 빌딩,,27220020,,영원무역빌딩,http://place.map.kakao.com/27220020,서울 중구 만리재로 159,126.964039055389,37.5533219204773
서울 중구 만리동2가 273,CE7,카페,음식점 > 카페 > 커피전문점 > 메가MGC커피,,1853524775,02-3147-2444,메가MGC커피 서울만리점,http://place.map.kakao.com/1853524775,서울 중구 만리재로 175,126.96285247770888,37.55215926569699
서울 중구 만리동2가 283,FD6,음식점,음식점 > 일식 > 일식집,,512316559,,소수헌,http://place.map.kakao.com/512316559,서울 중구 만리재로21길 8,126.963407745402,37.5529550203514
서울 중구 만리동2가 218-26,PS3,"어린이집,유치원","교육,학문 > 유아교육 > 어린이집",,741337902,02-2088-1318,늘푸른어린이집,http://place.map.kakao.com/741337902,서울 중구 만리재로21길 9,126.96305926674299,37.5527855242128
서울 중구 만리동2가 171,,,"스포츠,레저 > 스포츠용품 > 아웃도어용품",,15383882,02-392-9143,영원아웃도어 본점,http://place.map.kakao.com/15383882,서울 중구 만리재로 159,126.96406622314,37.5533075127816
서울 중구 만리동2가 273,FD6,음식점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,,960690898,02-364-3331,배스킨라빈스 만리센트럴점,http://place.map.kakao.com/960690898,서울 중구 만리재로 175,126.96250743606586,37.551915887148894
서울 중구 만리동2가 226-1,FD6,음식점,음식점 > 한식 > 죽 > 본죽,,2132333184,02-363-6288,본죽 만리점,http://place.map.kakao.com/2132333184,서울 중구 만리재로 175,126.96301651262135,37.55227914993556
